1.13000000000000e+00    	3.41732664319004e-07 	 2.99995990979335e+00   0.00000000000000e+00 	8.36751746989171e-06	 -7.29575858103375e-05	0.00000000000000e+00		1.00000000269641e+00
1.14000000000000e+00    	4.27294887503066e-07 	 2.99995923520572e+00   0.00000000000000e+00 	8.74211274044794e-06	 -6.18084784496382e-05	0.00000000000000e+00		1.00000000194836e+00
1.15000000000000e+00    	5.16514142105142e-07 	 2.99995867663928e+00   0.00000000000000e+00 	9.09847378808011e-06	 -4.97548946468609e-05	0.00000000000000e+00		1.00000000127917e+00
1.16000000000000e+00    	6.09194532707263e-07 	 2.99995824308381e+00   0.00000000000000e+00 	9.43388494826318e-06	 -3.68086920370442e-05	0.00000000000000e+00		1.00000000072194e+00
1.17000000000000e+00    	7.05112878112137e-07 	 2.99995794338433e+00   0.00000000000000e+00 	9.74560692065585e-06	 -2.29870012733029e-05	0.00000000000000e+00		1.00000000031169e+00
1.18000000000000e+00    	8.04018541692321e-07 	 2.99995778618753e+00   0.00000000000000e+00 	1.00308902095550e-05	 -8.31237339911873e-06	0.00000000000000e+00		1.00000000008486e+00
1.19000000000000e+00    	9.05633399025578e-07 	 2.99995777988697e+00   0.00000000000000e+00 	1.02869891320195e-05	 7.18709684401250e-06	0.00000000000000e+00		1.00000000007874e+00
1.20000000000000e+00    	1.00965194822842e-06 	 2.99995793256712e+00   0.00000000000000e+00 	1.05111763401382e-05	 2.34776733852549e-05	0.00000000000000e+00		1.00000000033084e+00
1.21000000000000e+00    	1.11574156784773e-06 	 2.99995825194660e+00   0.00000000000000e+00 	1.07007578005843e-05	 4.05199083897920e-05	0.00000000000000e+00		1.00000000087818e+00
1.22000000000000e+00    	1.22354292658595e-06 	 2.99995874532079e+00   0.00000000000000e+00 	1.08530881714953e-05	 5.82686004383846e-05	0.00000000000000e+00		1.00000000175651e+00
1.23000000000000e+00    	1.33267054852148e-06 	 2.99995941950421e+00   0.00000000000000e+00 	1.09655865138523e-05	 7.66727826245180e-05	0.00000000000000e+00		1.00000000299948e+00
1.24000000000000e+00    	1.44271353684375e-06 	 2.99996028077299e+00   0.00000000000000e+00 	1.10357522718761e-05	 9.56757417474729e-05	0.00000000000000e+00		1.00000000463782e+00
1.25000000000000e+00    	1.55323645845571e-06 	 2.99996133480756e+00   0.00000000000000e+00 	1.10611814545126e-05	 1.15215069644083e-04	0.00000000000000e+00		1.00000000669843e+00
1.26000000000000e+00    	1.66378039110534e-06 	 2.99996258663615e+00   0.00000000000000e+00 	1.10395829478157e-05	 1.35222747556327e-04	0.00000000000000e+00		1.00000000920353e+00
1.27000000000000e+00    	1.77386413399543e-06 	 2.99996404057921e+00   0.00000000000000e+00 	1.09687948859457e-05	 1.55625264276796e-04	0.00000000000000e+00		1.00000001216977e+00
