file	phi	r	period	raio_max	px_mean	x_final	eta
2531	01.31995606335416e+00	2.00000000000000e+00	5.85879999999883e+01	1.29268200276342e+00	-7.97398179960932e-02	-1.18121012000000e+02	1.13542635658914e+01
2532	03.18381926457259e-01	2.00000000000000e+00	5.68219999999887e+01	1.22572027404111e+00	-9.85406686391174e-02	-1.23824532000000e+02	1.13644000000000e+01
2533	02.51933877096435e-01	2.00000000000000e+00	5.58271999999889e+01	1.22937785237400e+00	-5.81293993490330e-02	-1.12279184000000e+02	1.12102811244979e+01
2534	02.81426766089688e-01	2.00000000000000e+00	5.49047999999891e+01	1.23002391238972e+00	-1.60425895982400e-02	-1.00479028000000e+02	1.10695161290322e+01
2535	02.25143432039519e+00	2.00000000000000e+00	5.39055999999893e+01	1.22951492161938e+00	2.24651708770647e-02	-9.00905743000000e+01	1.09120647773279e+01
2536	02.83120974404309e+00	2.00000000000000e+00	5.29339999999894e+01	1.23853858154572e+00	6.29205558257570e-02	-7.93948871000000e+01	1.07589430894308e+01
2537	02.71978787955997e+00	2.00000000000000e+00	5.16771999999897e+01	1.22504018178013e+00	7.78072817674922e-02	-7.54189552000000e+01	1.06331687242798e+01
2538	02.65941691074034e+00	2.00000000000000e+00	5.06623999999899e+01	1.20377492070274e+00	1.13158603489983e-01	-6.63516864000000e+01	1.05108713692946e+01
2539	02.50294334896257e+00	2.00000000000000e+00	4.98431999999900e+01	1.22533294934874e+00	1.59031906770276e-01	-5.50576380000000e+01	1.03409128630705e+01
2540	02.29473215511854e+00	2.00000000000000e+00	4.90355999999902e+01	1.22507479454115e+00	2.04418217145376e-01	-4.38795820000000e+01	1.02157500000000e+01
2541	01.70576546486016e+00	2.00000000000000e+00	4.81359999999903e+01	1.22268470079866e+00	2.41168173267558e-01	-3.49701212000000e+01	1.00702928870292e+01
2542	0.34063761988187e-01	2.00000000000000e+00	4.71383999999905e+01	1.21990027020304e+00	2.72854836781506e-01	-2.76888761000000e+01	9.94481012658222e+00
2543	0.11206490787059e-01	2.00000000000000e+00	4.62871999999907e+01	1.21669853493263e+00	3.06896590956658e-01	-2.01440263000000e+01	9.80661016949147e+00
2544	0.46436238840336e+00	2.00000000000000e+00	4.55163999999909e+01	1.21303166241182e+00	3.49255412347694e-01	-1.07523005000000e+01	9.68434042553187e+00
2545	0.76428208965017e+00	2.00000000000000e+00	4.47703999999910e+01	1.21461457155175e+00	3.98880313717019e-01	1.83970610000000e-01	9.56632478632473e+00
2546	0.01627852715853e+00	2.00000000000000e+00	4.40663999999912e+01	1.21731577787408e+00	4.53705156026628e-01	1.17571452000000e+01	9.41589743589740e+00
2547	0.33254449056029e+00	2.00000000000000e+00	4.34427999999913e+01	1.20951431051885e+00	5.04305349616744e-01	2.22905659000000e+01	9.32248927038622e+00
