tfwhm	phi	r	period	raio_max	px_mean	x_f	eta
1070	0.00000000000000e+00	1.00000000000000e+00	2.68188924153808e+02	3.93613843235865e-01	-9.72771567440548e-01	-1.36035219000000e+03	3.05421996361331e+01
1080	0.00000000000000e+00	1.00000000000000e+00	2.68151911263370e+02	3.92547690357872e-01	-9.72954276701229e-01	-1.36079521000000e+03	3.05379844915575e+01
1090	0.00000000000000e+00	1.00000000000000e+00	2.68205714183146e+02	3.91742035370472e-01	-9.73131458030270e-01	-1.36123065000000e+03	3.05441117375726e+01
1100	0.00000000000000e+00	1.00000000000000e+00	2.68148336679892e+02	3.90644194984927e-01	-9.73308613420636e-01	-1.36165800000000e+03	3.05375774067290e+01
1110	0.00000000000000e+00	1.00000000000000e+00	2.68194481194736e+02	3.88927234066964e-01	-9.73481054554063e-01	-1.36208156000000e+03	3.05776552866792e+01
1120	0.00000000000000e+00	1.00000000000000e+00	2.68196474605209e+02	3.87881830044985e-01	-9.73653519894837e-01	-1.36249832000000e+03	3.05778825613718e+01
1130	0.00000000000000e+00	1.00000000000000e+00	2.68147907949627e+02	3.86394660694448e-01	-9.73822894248898e-01	-1.36291173000000e+03	3.05723453316488e+01
1140	0.00000000000000e+00	1.00000000000000e+00	2.68172844108467e+02	3.85388855434728e-01	-9.73989878968130e-01	-1.36331823000000e+03	3.05751883777316e+01
1150	0.00000000000000e+00	1.00000000000000e+00	2.68297100348495e+02	3.84252721022051e-01	-9.74152955899854e-01	-1.36371685000000e+03	3.05893552034540e+01
1160	0.00000000000000e+00	1.00000000000000e+00	2.68231670357315e+02	3.83008510008459e-01	-9.74313664963331e-01	-1.36411054000000e+03	3.05818953343814e+01
1170	0.00000000000000e+00	1.00000000000000e+00	3.07196021866477e+02	3.81472705252967e-01	-9.74470531844391e-01	-1.36449599000000e+03	3.50243376382222e+01
1180	0.00000000000000e+00	1.00000000000000e+00	2.68256400430994e+02	3.80434257573774e-01	-9.74626054691815e-01	-1.36488252000000e+03	3.06196252350024e+01
