0.00000000000000e+00    	0.00000000000000e+00 	 9.51056516300000e-01  	3.09016994370000e-01    -1.00000000000000e+01	 0.00000000000000e+00	0.00000000000000e+00		1.00498756211209e+01
3.18000000000000e+00    	-3.16421610209188e+00 	 9.50717983847960e-01   3.09015908262919e-01 	-1.00098576246374e+01	 -1.19632411695958e-02	-3.87615503215432e-05		1.00596914856348e+01
3.21000000000000e+00    	-3.19406749760790e+00 	 9.50705788076208e-01   3.09015788811020e-01 	-1.00092487133909e+01	 4.01842440537862e-03	-4.03299401650448e-05		1.00590792797293e+01
3.24000000000000e+00    	-3.22391883498141e+00 	 9.50742221869640e-01   3.09015673449628e-01 	-1.00072652317536e+01	 2.02607212596585e-02	-3.62307962767418e-05		1.00571252312380e+01
3.27000000000000e+00    	-3.25377000620921e+00 	 9.50824608608337e-01   3.09015575492750e-01 	-1.00041227531093e+01	 3.44338315890702e-02	-2.93536803787085e-05		1.00540368881807e+01
3.30000000000000e+00    	-3.28362095165221e+00 	 9.50943506684139e-01   3.09015496191311e-01 	-1.00002202810891e+01	 4.43822128344108e-02	-2.45527046817853e-05		1.00501928066941e+01
3.33000000000000e+00    	-3.31347168648444e+00 	 9.51083698317949e-01   3.09015422500030e-01 	-9.99608853374341e+00	 4.84465994993067e-02	-2.60873419955425e-05		1.00461003901076e+01
3.36000000000000e+00    	-3.34332229280711e+00 	 9.51226071821125e-01   3.09015332771093e-01 	-9.99231550578907e+00	 4.57317891101247e-02	-3.51220120232159e-05		1.00423334223178e+01
3.39000000000000e+00    	-3.37317287940167e+00 	 9.51350180639322e-01   3.09015207998720e-01 	-9.98946133376140e+00	 3.62778453932785e-02	-4.87265829576383e-05		1.00394548568712e+01
3.42000000000000e+00    	-3.40302352902987e+00 	 9.51437145846900e-01   3.09015042773330e-01 	-9.98797608890606e+00	 2.11037578346549e-02	-6.11184649115761e-05		1.00379336381991e+01
3.45000000000000e+00    	-3.43287426162669e+00 	 9.51472491395494e-01   3.09014849610558e-01 	-9.98813272750490e+00	 2.10963314744308e-03	-6.66759084424459e-05		1.00380675350015e+01
3.48000000000000e+00    	-3.46272503469791e+00 	 9.51448482161977e-01   3.09014653447071e-01 	-9.98998392747710e+00	 -1.81559260283671e-02	-6.31766228300947e-05		1.00399257224788e+01
3.51000000000000e+00    	-3.49257578215173e+00 	 9.51365584761889e-01   3.09014478436433e-01 	-9.99334742766720e+00	 -3.68355575918084e-02	-5.34208131775585e-05		1.00433236366862e+01
3.54000000000000e+00    	-3.52242647016254e+00 	 9.51232788111568e-01   3.09014333846883e-01 	-9.99782104960922e+00	 -5.11644073622025e-02	-4.41420562295842e-05		1.00478377543897e+01
3.57000000000000e+00    	-3.55227713664068e+00 	 9.51066687373930e-01   3.09014207052028e-01 	-1.00028262235261e+01	 -5.88759624486657e-02	-4.25646538877013e-05		1.00528602317364e+01
3.60000000000000e+00    	-3.58212788754745e+00 	 9.50889421656727e-01   3.09014068288559e-01 	-1.00076769694181e+01	 -5.85527977020613e-02	-5.23518170290977e-05		1.00576849601228e+01
3.63000000000000e+00    	-3.61197884633315e+00 	 9.50725729207369e-01   3.09013885558785e-01 	-1.00116688735018e+01	 -4.98690394180877e-02	-7.11966768131290e-05		1.00616102368759e+01
3.66000000000000e+00    	-3.64183008013260e+00 	 9.50599515859166e-01   3.09013642150546e-01 	-1.00141790765584e+01	 -3.36857080767186e-02	-9.15737538663419e-05		1.00640408044033e+01
3.69000000000000e+00    	-3.67168154269085e+00 	 9.50530406437193e-01   3.09013347114721e-01 	-1.00147641833505e+01	 -1.19799798073749e-02	-1.04511581475452e-04		1.00645737703570e+01
3.72000000000000e+00    	-3.70153306921307e+00 	 9.50530759691663e-01   3.09013032164584e-01 	-1.00132399261732e+01	 1.23880124332322e-02	-1.04529437361492e-04		1.00630575519018e+01
