0.00000000000000e+00    	0.00000000000000e+00 	 3.00000000000000e+00  	-7.34788079490000e-16    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.66000000000000e+00    	9.44428954205372e-03 	 3.03749418471330e+00   -7.35220712235146e-16 	-1.08264187963311e-03	 1.19006315234790e-01	-1.03663411902708e-18		1.00705693740682e+00
3.69000000000000e+00    	9.33716939479906e-03 	 3.04046809044154e+00   -7.35252016781408e-16 	-5.87695987664999e-03	 7.93593300427658e-02	-1.05832292270399e-18		1.00316122429160e+00
3.72000000000000e+00    	9.10929753598769e-03 	 3.04218847287805e+00   -7.35283867510212e-16 	-9.00051645002191e-03	 3.48590398523226e-02	-1.06699752272342e-18		1.00064787110941e+00
3.75000000000000e+00    	8.82094225541915e-03 	 3.04252241164886e+00   -7.35315897401029e-16 	-9.79642338412448e-03	 -1.30106685893048e-02	-1.06807641738886e-18		1.00013261491077e+00
3.78000000000000e+00    	8.54913895743398e-03 	 3.04139258472067e+00   -7.35347917632245e-16 	-7.86972516781948e-03	 -6.25060166188099e-02	-1.06913171117740e-18		1.00198250218642e+00
3.81000000000000e+00    	8.37736975210347e-03 	 3.03878672746030e+00   -7.35379978817334e-16 	-3.17956644816308e-03	 -1.11723389067161e-01	-1.07881403947212e-18		1.00622672659170e+00
3.84000000000000e+00    	8.38312474424862e-03 	 3.03475997205352e+00   -7.35412391780927e-16 	3.92901260763053e-03	 -1.58724646378833e-01	-1.10546583308068e-18		1.01252602460784e+00
3.87000000000000e+00    	8.62617130184567e-03 	 3.02942944882379e+00   -7.35445701152050e-16 	1.27642693418013e-02	 -2.01661761409617e-01	-1.15573877926241e-18		1.02021095494347e+00
3.90000000000000e+00    	9.14009392351429e-03 	 3.02296301309969e+00   -7.35480619300769e-16 	2.23871508130910e-02	 -2.38875434652029e-01	-1.23352452948111e-18		1.02837865487462e+00
3.93000000000000e+00    	9.92844068892193e-03 	 3.01556554990119e+00   -7.35517938077063e-16 	3.17449095361960e-02	 -2.68953216663557e-01	-1.33938222558690e-18		1.03602295922201e+00
3.96000000000000e+00    	1.09653665042886e-02 	 3.00746636599486e+00   -7.35558437231148e-16 	3.98104000710134e-02	 -2.90747368207203e-01	-1.47048175408620e-18		1.04217028362606e+00
3.99000000000000e+00    	1.21997174063039e-02 	 2.99891003360309e+00   -7.35602802811792e-16 	4.57064589467880e-02	 -3.03364089911652e-01	-1.62096376899313e-18		1.04600136301889e+00
4.02000000000000e+00    	1.35613017023543e-02 	 2.99015150764879e+00   -7.35651561023617e-16 	4.88061611533734e-02	 -3.06140701364897e-01	-1.78258294120021e-18		1.04694993691137e+00
4.05000000000000e+00    	1.49684450354477e-02 	 2.98145502256378e+00   -7.35705027199781e-16 	4.88082454813901e-02	 -2.98626921567446e-01	-1.94553334308831e-18		1.04477762376107e+00
4.08000000000000e+00    	1.63364653370378e-02 	 2.97309536068951e+00   -7.35763267632352e-16 	4.57897136057100e-02	 -2.80583261587392e-01	-2.09941503944766e-18		1.03962669480690e+00
4.11000000000000e+00    	1.75871122930320e-02 	 2.96535943247135e+00   -7.35826074063721e-16 	4.02345224200174e-02	 -2.52005443791331e-01	-2.23435128972824e-18		1.03204920449310e+00
4.14000000000000e+00    	1.86590590396917e-02 	 2.95854554423992e+00   -7.35892955835607e-16 	3.30299532959192e-02	 -2.13178561381458e-01	-2.34227626303007e-18		1.02300345886385e+00
