0.00000000000000e+00    	0.00000000000000e+00 	 -9.27050983120000e-01  	2.85316954890000e+00    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.90000000000000e+00    	4.21620801971752e-04 	 -9.25598285615075e-01   2.85332657293028e+00 	1.39024967738126e-03	 -2.15395344773020e-02	2.82074314683071e-04		1.00023295481882e+00
3.93000000000000e+00    	4.58486151726711e-04 	 -9.26281990321954e-01   2.85333542489717e+00 	1.05765690709947e-03	 -2.39349623717292e-02	3.09293219145173e-04		1.00028700717552e+00
3.96000000000000e+00    	4.84461771062702e-04 	 -9.27026355009067e-01   2.85334518430786e+00 	6.65097461322346e-04	 -2.55691678985882e-02	3.42394641853265e-04		1.00032711746496e+00
3.99000000000000e+00    	4.97854385541331e-04 	 -9.27807081365894e-01   2.85335600358933e+00 	2.20171614071320e-04	 -2.63478395153798e-02	3.79643444460442e-04		1.00034714037269e+00
4.02000000000000e+00    	4.97261819130803e-04 	 -9.28597451558422e-01   2.85336797276352e+00 	-2.65191606506588e-04	 -2.62040940228475e-02	4.18647581764850e-04		1.00034339110924e+00
4.05000000000000e+00    	4.81707785256844e-04 	 -9.29369204079734e-01   2.85338110400359e+00 	-7.74447993372825e-04	 -2.51022228707596e-02	4.56658889575861e-04		1.00031541520667e+00
4.08000000000000e+00    	4.50778368706619e-04 	 -9.30093506333545e-01   2.85339532649341e+00 	-1.28664828312404e-03	 -2.30404683275580e-02	4.90954878090581e-04		1.00026634437096e+00
4.11000000000000e+00    	4.04744135081899e-04 	 -9.30741994561626e-01   2.85341049330689e+00 	-1.77722030878616e-03	 -2.00526756621950e-02	5.19251787233535e-04		1.00020274841437e+00
4.14000000000000e+00    	3.44650454267517e-04 	 -9.31287847536586e-01   2.85342640039137e+00 	-2.21932671531820e-03	 -1.62086919936612e-02	5.40089691952650e-04		1.00013396042935e+00
4.17000000000000e+00    	2.72359572866937e-04 	 -9.31706856387777e-01   2.85344281593112e+00 	-2.58571992434521e-03	 -1.16134151965930e-02	5.53128912579365e-04		1.00007092914035e+00
